#gp_printername,vid,pid,type,gp_options
#
# The goal here is to cover unique models within gutenprint itself.
# All print sizes need to be covered.
#
mitsubishi-d90dw,0x06d3,0x3b60,0x5,PageSize=w432h648-div4
mitsubishi-d90dw,0x06d3,0x3b60,0x4,PageSize=B7
mitsubishi-d90dw,0x06d3,0x3b60,0x4,PageSize=w360h360
mitsubishi-d90dw,0x06d3,0x3b60,0x4,PageSize=w360h504
#
kodak-305,0x040a,0x404f,0xf,PageSize=w288h432
kodak-305,0x040a,0x404f,0xf,PageSize=w288h432-div2
kodak-305,0x040a,0x404f,0xf,PageSize=w432h432
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576-div2
kodak-305,0x040a,0x404f,0x4,PageSize=B7
kodak-305,0x040a,0x404f,0x4,PageSize=w360h360
kodak-305,0x040a,0x404f,0x4,PageSize=w360h504
kodak-305,0x040a,0x404f,0x4,PageSize=w360h504-div2
kodak-305,0x040a,0x404f,0xf,PageSize=w432h432;StpPrintSpeed=Fine
kodak-305,0x040a,0x404f,0xf,PageSize=w432h432;StpPrintSpeed=UltraFine
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576;StpLaminate=Matte
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576;StpUseLUT=True
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576;StpSharpen=0
kodak-305,0x040a,0x404f,0xf,PageSize=w432h576;StpSharpen=9
#
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w288h432
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w288h432-div2
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h432
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576-div2
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h432;StpPrintSpeed=Fine
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h432;StpPrintSpeed=UltraFine
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576;StpLaminate=Matte
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576;StpUseLUT=True
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576;StpSharpen=0
mitsubishi-k60dw,0x006d3,0x3b31,0xf,PageSize=w432h576;StpSharpen=9
mitsubishi-k60dw,0x006d3,0x3b31,0x4,PageSize=B7
mitsubishi-k60dw,0x006d3,0x3b31,0x4,PageSize=w360h504
mitsubishi-k60dw,0x006d3,0x3b31,0x4,PageSize=w360h504-div2
#
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w288h432
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w288h432-div2
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h432
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576-div2
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h432;StpPrintSpeed=Fine
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h432;StpPrintSpeed=UltraFine
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576;StpLaminate=Matte
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576;StpUseLUT=True
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576;StpSharpen=0
mitsubishi-d80dw,0x06d3,0x3b36,0xf,PageSize=w432h576;StpSharpen=9
mitsubishi-d80dw,0x06d3,0x3b36,0x4,PageSize=w360h360
mitsubishi-d80dw,0x06d3,0x3b36,0x4,PageSize=w360h504
#
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w288h432
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w288h432-div2
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h432
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576-div2
mitsubishi-d70dw,0x06d3,0x3b30,0x5,PageSize=w432h612
mitsubishi-d70dw,0x06d3,0x3b30,0x5,PageSize=w432h648
mitsubishi-d70dw,0x06d3,0x3b30,0x5,PageSize=w432h648;StpLaminate=Matte
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h432;StpPrintSpeed=Fine
